id,topic,note,source_url,created_at
58,angelica_garcilazo_agency_5030_archer_may2026,"Angelica Garcilazo Agency Inc. issued new business license at 5030 S Archer Ave Floor 1, Chicago 60632. License issued Apr 2026. Insurance agency serving Archer Heights corridor.",https://data.cityofchicago.org/Business-Transactions/Business-Licenses/uc4x-hmav,2026-05-06 14:01:39
59,my_green_house_hvac_5145_archer_may2026,"MY GREEN HOUSE HVAC LLC licensed contractor at 5145 S Archer Ave, Chicago 60632. HVAC services, licensed through 2026-2027. New business addition to Archer Avenue service corridor.",https://www.villageofparkforest.com/DocumentCenter/View/8019/Contractor-list-as-of-5-1-24,2026-05-06 14:01:39
60,western_works_100m_groundbreaking_apr2026,"Western Works: Brookfield Properties broke ground April 2026 on $100M, 4-building industrial campus at 47th Street and Western Boulevard (28 acres, 560K+ SF). Former Wheatland Tubing site. Cook County Class 6(b) tax incentive saves estimated $7.2M over 12 years. Located in Back of the Yards near Archer Heights industrial corridor.",https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2026/april/western-works-groundbreaking.html,2026-05-06 14:01:39
61,archer_medical_arts_available_4900_archer_may2026,"Archer Medical Arts Building at 4900 S Archer Ave, Chicago 60632 has 1,950 SF office/retail available (expandable to 5,450 SF). Zoned C2-3. Private parking for 30+ vehicles. 10,701 SF building total with 3 medical suites + 1 retail unit + residential. Heavy traffic corner (Archer 21,700 VPD, Pulaski 31,100 VPD). Across from Curie HS, near CTA Pulaski Orange Line.",https://www.loopnet.com/Listing/4900-S-Archer-Ave-Chicago-IL/25579097/,2026-05-06 14:01:39
62,chicago_industrial_vacancy_72pct_q1_2026,Chicago industrial market Q1 2026 (Savills): vacancy declined 20 bps YoY to 7.2% — lowest since late 2024. Occupiers moving forward on previously delayed decisions. Chicago industrial remains steady post-pandemic with healthy supply-demand balance.,https://www.savills.us/research_articles/256536/389549-0,2026-05-06 14:01:39
63,chicago_restaurant_job_losses_2100_may2026,"Chicago lost 2,100 restaurant jobs as industry fights mandated wage hikes (May 4, 2026, The Center Square). Sub-minimum wage phase-out impacts Southwest Side restaurant economy.",https://www.thecentersquare.com/illinois/article_f81e1a86-3db7-4a0c-a7e7-0eb590705085.html,2026-05-06 14:01:39
48,angelica_garcilazo_agency_apr2026,"Angelica Garcilazo Agency Inc. — new business license issued Apr 2026 at 5030 S Archer Ave Floor 1, Chicago 60632. Insurance agency operating in Archer Heights corridor.",https://data.cityofchicago.org/Business-Economic-Development/Business-Licenses/r5kz-chrr,2026-05-05 14:03:18
49,archer_ave_complete_streets_compromise_may2026,"Archer Avenue Complete Streets compromise: CDOT re-adding 17 parking spots across three sections of Archer Ave in Brighton Park/Archer Heights area after protests. CDOT removing portions of concrete bike barriers near Albany Ave, adding spaces near Troy St and Christiana Ave. Water/sewer work starting mid-May 2026 with 42-inch sewer main installation at Archer and California. Full corridor repaving planned for 2027 between 47th St and Western Ave.",https://blockclubchicago.org/2026/04/30/city-removes-brand-new-concrete-bike-lanes-pedestrian-islands-in-brighton-park-amid-protests/,2026-05-05 14:03:18
50,chicago_industrial_15m_sf_under_construction_q1_2026,"NAI Hiffman Q1 2026: Nearly 15M SF industrial space under construction in Chicago market. 7.9M SF (53.2%) speculative, 6.9M SF (46.8%) build-to-suit. 3.6M SF broke ground in Q1 across 11 projects. I-55 corridor leads with 2.4M SF, Northwest Indiana 2.2M SF.",https://rejournals.com/the-cranes-are-back-nearly-15-million-square-feet-of-industrial-construction-underway-in-chicago-market-during-first-quarter/,2026-05-05 14:03:18
51,chicago_industrial_market_steady_bet_apr2026,"The Real Deal (Apr 30, 2026): Chicago industrial market maintaining healthy supply-demand balance in Q1 2026. Industrial stands out from struggling office and multifamily sectors. NAI Hiffman notes tenant moves more ""thoughtful and strategic"" post-pandemic.",https://therealdeal.com/chicago/2026/04/30/chicago-industrial-market-performance/,2026-05-05 14:03:18
52,galvanize_green_oaks_industrial_acquired_may2026,"Galvanize Real Estate (GRE) acquired a 3-property, 462,300 SF industrial portfolio in Green Oaks, IL (north of Chicago). GRE portfolio now exceeds 2.8M SF. May 4, 2026.",https://www.connectcre.com/stories/galvanize-real-estate-acquires-chicagoland-industrial-portfolio/,2026-05-05 14:03:18
53,4900_s_archer_medical_office_listing_may2026,"4900 S Archer Ave, Chicago 60632 — mixed-use property listing: 10,701 SF building with 3 medical office suites + 1 retail (5,251 SF total) plus 1,550 SF garage. 2nd floor 3,900 SF residential (7bd/3ba) with 900 SF rooftop deck. Private parking for 30+ cars. Priced for medical/dental/wellness use at Archer Ave & 49th St corner, near Pulaski Orange Line.",https://brevitas.com/p/umj6s3JZ3/mixed-use-property-with-private-parking-lot-available-in-archer-heights-neighborhood,2026-05-05 14:03:18
54,southwest_suburbs_cook_county_reassessment_2026,Cook County Assessor: south and west suburbs undergoing property reassessment in 2026. Every property owner receiving Reassessment Notice with updated estimated fair market value. Archer Heights likely included in this cycle.,https://www.cookcountyassessoril.gov/assessment-calendar-and-deadlines,2026-05-05 14:03:18
55,archer_avenue_historic_preservation_debate_apr2026,"La Raza (Apr 30, 2026): Spanish-language editorial arguing Archer Avenue should be protected from ""dubious changes"" and preserved as a historic site. Small business owners fear losing customers from CDOT Complete Streets construction. Bilingual community tensions over bike lane vs. parking/business access priorities.",https://laraza.com/2026/04/30/la-avenida-archer-debe-ser-protegida-de-cambios-dudosos-y-preservada-como-sitio-historico,2026-05-05 14:03:18
56,55_chicago_business_center_2600_w_35th_60632,"55 Chicago Business Center at 2600 W 35th St, Chicago 60632 — 683,000 SF industrial property (built 1930). Space available for lease in Archer Heights/Brighton Park industrial corridor.",https://www.commercialcafe.com/commercial-property/us/il/chicago/55-chicago-business-center/,2026-05-05 14:03:18
57,national_small_business_week_chicago_may2026,"City of Chicago celebrating National Small Business Week May 4-8, 2026. Mayor Johnson and BACP announced events supporting small businesses across all neighborhoods including Southwest Side.",https://www.chicago.gov/city/en/depts/bacp/provdrs/business_support_tools/news/2026/may/nationalsmallbusinessweek.html,2026-05-05 14:03:18
43,ford_city_mall_court_reprieve_may_2026,"Ford City Mall update (late April 2026): Cook County judge postponed vacate hearing to May 15, 2026. City ordered mall closed April 14 over defective fire suppression system. JC Penney announced closure Apr 23 then retracted hours later. Kurv Industrial still in ""waiting status"" on $150M-200M warehouse conversion plan. Namdar Realty Group (owner since 2019) under city pressure.",https://southwestregionalpublishing.com/2026/04/26/ford-city-gets-short-reprieve-jc-penney-stays-put-for-now/,2026-05-04 14:03:20
44,cdot_archer_sewer_main_may_2026,CDOT and Chicago Dept of Water Management: 42-inch sewer main installation starting mid-May 2026 at Archer Avenue & California Avenue intersection. Part of Archer Avenue Complete Streets project. Water/sewer work will affect traffic on the Brighton Park/Archer Heights commercial corridor.,https://www.fox32chicago.com/news/chicago-bike-lane-expansion-sparks-backlash-brighton-park,2026-05-04 14:03:20
45,chicago_industrial_vacancy_5_9_q1_2026,NAI Hiffman Q1 2026: Chicago industrial vacancy improved 10bps to 5.9%. 14.9M SF under construction. 53% speculative vs 47% built-to-suit. 1.5M SF delivered Q1. ~11.6M SF projected to deliver by year-end. Market maintaining healthy supply-demand balance. National industrial vacancy expected to peak mid-2026.,https://therealdeal.com/chicago/2026/04/30/chicago-industrial-market-performance/,2026-05-04 14:03:20
46,archer_bike_lane_compromise_may_2026,"Archer Avenue Complete Streets update (late Apr 2026): CDOT removed concrete bike barriers and pedestrian islands in Brighton Park after protests. Restoring ~17 parking spaces. City adding second southbound lane at Pershing/Rockwell. Tribune editorial called it ""a sensible compromise."" Streetsblog counter-protesters outnumber opponents weekly. Core safety features (crosswalks, left-turn lanes) retained.",https://blockclubchicago.org/2026/04/30/city-removes-brand-new-concrete-bike-lanes-pedestrian-islands-in-brighton-park-amid-protests/,2026-05-04 14:03:20
47,chicago_industrial_investment_measured_q1_2026,"Chicago industrial investment more measured than other major markets in Q1 2026. NAI Hiffman notes tenants are ""more thoughtful and strategic"" with moves post-pandemic. Big-box warehouse demand weakness has reversed — vacancy in larger spaces decreasing. STAG Industrial expects national vacancy inflection H2 2026.",https://rejournals.com/the-cranes-are-back-nearly-15-million-square-feet-of-industrial-construction-underway-in-chicago-market-during-first-quarter/,2026-05-04 14:03:20
38,4900_archer_medical_arts_building_listing,"4900 S Archer Ave (Archer Medical Arts Building) listed for sale $3.6M and for lease. 10,701 SF mixed-use with 3 medical office suites, 1 retail unit, plus 3,900 SF residential unit with 7BR/3BA and 900 SF rooftop deck. C2-3 zoning, 33 parking spaces, across from Curie HS. Discovered 2026-05-03 14:01:50",https://brevitas.com/p/umj6s3JZ3/mixed-use-property-with-private-parking-lot-available-in-archer-heights-neighborhood,2026-05-03 14:01:50
39,angelica_garcilazo_agency_new_business_license,"Angelica Garcilazo Agency Inc. — new business license issued 2026-04-05 at 5030 S Archer Ave, Floor 1, Chicago IL 60632. Insurance agency location in Archer Heights corridor. Discovered 2026-05-03 14:01:50",https://data.cityofchicago.org/api/views/uc4x-hmav/rows.pdf,2026-05-03 14:01:50
40,dmn_construction_5212_archer,"D.M.N. Construction — business record at 5212 S Archer Ave, Chicago 60632. Listed 2026-04-01 with 'new marketing' flag. Construction/contractor business along Archer Avenue corridor.",https://data.cityofchicago.org/api/views/4xb7-8972/rows.pdf,2026-05-03 14:01:50
41,chicago_industrial_market_q2_2026_steady,Chicago industrial market 'maintained a healthy supply-demand balance' in Q1 2026. NAI Hiffman reports steady activity — office market faces oversupply while multifamily/residential lack new supply. Industrial vacancy 5.5-6% metro-wide but under 2% in O'Hare/Elk Grove corridor. Chicago industrial prices up 31% since 2019 vs 70% national average. Class A industrial (under 20% of inventory) had strong net absorption in 2025.,https://therealdeal.com/chicago/2026/04/30/chicago-industrial-market-performance/,2026-05-03 14:01:50
42,greater_chicago_food_depository_hydroponic,Greater Chicago Food Depository (Archer Heights) launched hydroponic herb garden to produce fresh herbs for thousands of daily meals. Located in 60632. Exploring expansion of hydroponic units. Reported May 2026 by ABC7 Chicago.,https://abc7chicago.com/post/how-greater-chicago-food-depository-is-growing-own-hydroponic-herbs-feed-neighbors/18979919/,2026-05-03 14:01:50
30,brighton_park_archer_bike_lane_controversy,"Archer Avenue bike lane controversy in Brighton Park: City removed concrete bike barriers near 38th St after protests from business owners citing lost parking and reduced sales. CDOT restoring 17 parking spaces while keeping core safety features. Over 3,000 signatures submitted in protest. Water/sewer work starting mid-May 2026 — 42-inch sewer main at Archer and California. Article: blockclubchicago.org/2026/04/30 — Chicago Tribune editorial 2026/05/01 called for compromise.",https://blockclubchicago.org/2026/04/30/city-removes-brand-new-concrete-bike-lanes-pedestrian-islands-in-brighton-park-amid-protests/,2026-05-02 14:02:13
